iter	Passed	Remaining
0	1	288
1	2	278
2	3	251
3	4	234
4	5	224
5	6	214
6	7	207
7	8	202
8	9	198
9	10	195
10	11	192
11	12	190
12	14	203
13	15	201
14	16	198
15	17	199
16	18	198
17	19	195
18	20	192
19	21	189
20	21	187
21	22	185
22	23	183
23	24	181
24	25	180
25	27	182
26	28	181
27	29	180
28	30	178
29	31	176
30	32	175
31	33	173
32	33	171
33	34	169
34	35	168
35	36	166
36	37	165
37	38	163
38	39	162
39	41	164
40	42	164
41	43	165
42	44	164
43	46	163
44	47	162
45	48	161
46	49	160
47	50	159
48	51	158
49	52	158
50	53	157
51	54	156
52	57	158
53	58	157
54	59	157
55	60	155
56	61	154
57	62	153
58	63	152
59	64	151
60	65	150
61	67	149
62	68	148
63	70	149
64	71	149
65	72	148
66	74	147
67	75	146
68	76	145
69	77	144
70	79	143
71	80	143
72	82	143
73	85	144
74	86	143
75	87	143
76	88	142
77	90	141
78	91	140
79	92	139
80	93	138
81	95	137
82	96	136
83	99	136
84	100	135
85	101	134
86	102	133
87	104	132
88	105	131
89	106	130
90	107	128
91	108	127
92	110	126
93	113	127
94	114	126
95	116	125
96	118	126
97	120	125
98	122	125
99	125	125
100	127	124
101	128	123
102	130	122
103	134	123
104	135	122
105	136	121
106	138	120
107	139	119
108	144	120
109	146	119
110	147	118
111	149	117
112	153	117
113	154	116
114	156	115
115	158	114
116	159	113
117	161	111
118	162	110
119	163	109
120	165	107
121	166	106
122	168	105
123	169	104
124	171	102
125	173	101
126	175	100
127	176	99
128	178	98
129	180	97
130	182	95
131	183	94
132	186	93
133	187	92
134	189	91
135	191	89
136	193	88
137	194	87
138	196	86
139	198	85
140	200	83
141	201	82
142	202	80
143	204	79
144	206	78
145	207	76
146	209	75
147	210	74
148	212	72
149	214	71
150	216	70
151	218	68
152	219	67
153	221	66
154	223	64
155	223	63
156	225	61
157	226	60
158	227	58
159	228	57
160	230	55
161	231	54
162	232	52
163	234	51
164	235	49
165	236	48
166	238	47
167	239	45
168	242	44
169	243	42
170	244	41
171	246	40
172	247	38
173	248	37
174	250	35
175	251	34
176	253	33
177	255	31
178	257	30
179	258	28
180	260	27
181	261	25
182	263	24
183	265	23
184	266	21
185	268	20
186	269	18
187	270	17
188	271	15
189	273	14
190	274	12
191	276	11
192	277	10
193	279	8
194	280	7
195	282	5
196	284	4
197	286	2
198	288	1
199	290	0
