iter	Passed	Remaining
0	125	125744
1	127	63427
2	128	42574
3	129	32248
4	130	26021
5	135	22403
6	137	19463
7	139	17292
8	141	15554
9	143	14159
10	147	13245
11	149	12336
12	152	11552
13	154	10868
14	157	10311
15	159	9837
16	164	9499
17	167	9140
18	171	8829
19	174	8532
20	178	8319
21	182	8103
22	188	7987
23	192	7809
24	197	7699
25	201	7554
26	205	7390
27	210	7292
28	214	7185
29	217	7040
30	221	6939
31	224	6805
32	227	6677
33	231	6581
34	235	6491
35	238	6376
36	241	6274
37	243	6170
38	247	6098
39	251	6025
40	254	5948
41	257	5875
42	261	5811
43	264	5748
44	267	5677
45	270	5607
46	274	5569
47	277	5507
48	279	5434
49	281	5357
50	284	5286
51	286	5218
52	289	5166
53	291	5104
54	293	5042
55	295	4981
56	297	4922
57	299	4863
58	301	4808
59	303	4758
60	306	4721
61	309	4683
62	311	4639
63	314	4595
64	317	4563
65	320	4538
66	323	4497
67	325	4464
68	327	4424
69	329	4382
70	332	4354
71	334	4313
72	337	4283
73	339	4249
74	341	4214
75	343	4178
76	346	4150
77	349	4129
78	351	4098
79	353	4067
80	355	4036
81	358	4008
82	360	3982
83	364	3969
84	366	3946
85	369	3925
86	371	3900
87	373	3875
88	377	3859
89	379	3838
90	382	3820
91	401	3961
92	404	3940
93	407	3926
94	411	3916
95	415	3916
96	418	3900
97	422	3889
98	425	3874
99	429	3862
100	431	3844
101	434	3823
102	436	3798
103	439	3783
104	441	3763
105	443	3742
106	446	3722
107	448	3701
108	450	3685
109	453	3669
110	455	3650
111	458	3631
112	460	3614
113	462	3598
114	467	3595
115	469	3579
116	471	3560
117	473	3540
118	475	3521
119	477	3501
120	479	3484
121	482	3474
122	484	3457
123	487	3441
124	489	3425
125	490	3405
126	492	3388
127	495	3372
128	497	3356
129	499	3342
130	501	3327
131	502	3306
132	505	3292
133	507	3279
134	509	3267
135	512	3256
136	514	3243
137	517	3231
138	520	3221
139	522	3208
140	524	3194
141	527	3185
142	531	3185
143	534	3176
144	536	3164
145	539	3153
146	542	3145
147	543	3128
148	546	3119
149	548	3108
150	550	3096
151	553	3085
152	555	3077
153	558	3066
154	560	3057
155	563	3046
156	565	3036
157	567	3026
158	571	3020
159	573	3013
160	576	3003
161	579	2995
162	582	2990
163	585	2983
164	587	2973
165	590	2967
166	592	2956
167	595	2947
168	597	2938
169	599	2927
170	601	2916
171	605	2912
172	607	2903
173	609	2893
174	611	2884
175	613	2874
176	617	2873
177	620	2866
178	622	2856
179	625	2848
180	627	2839
181	630	2831
182	632	2822
183	635	2816
184	637	2808
185	639	2799
186	642	2791
187	644	2783
188	646	2773
189	650	2774
190	653	2765
191	654	2752
192	656	2745
193	659	2738
194	661	2730
195	664	2725
196	667	2718
197	668	2708
198	671	2704
199	674	2699
200	677	2692
201	680	2687
202	682	2681
203	685	2673
204	687	2664
205	689	2656
206	691	2650
207	695	2647
208	697	2640
209	700	2633
210	702	2627
211	704	2620
212	707	2614
213	710	2609
214	713	2604
215	716	2599
216	718	2592
217	721	2586
218	724	2582
219	726	2576
220	728	2569
221	731	2564
222	735	2562
223	738	2557
224	740	2552
225	744	2549
226	746	2543
227	749	2537
228	752	2534
229	756	2531
230	758	2523
231	760	2517
232	762	2509
233	764	2503
234	767	2498
235	770	2494
236	772	2488
237	775	2482
238	777	2475
239	779	2468
240	781	2461
241	784	2458
242	790	2463
243	795	2463
244	804	2477
245	808	2476
246	811	2472
247	817	2477
248	823	2483
249	827	2482
250	830	2477
251	832	2472
252	835	2466
253	837	2460
254	840	2454
255	843	2450
256	845	2445
257	848	2439
258	850	2432
259	852	2426
260	854	2420
261	857	2416
262	859	2409
263	862	2404
264	864	2398
265	866	2392
266	869	2386
267	872	2381
268	874	2376
269	876	2369
270	878	2362
271	880	2355
272	882	2348
273	884	2342
274	886	2338
275	889	2332
276	891	2326
277	893	2319
278	895	2313
279	897	2306
280	899	2300
281	901	2295
282	903	2290
283	906	2284
284	908	2278
285	910	2271
286	912	2266
287	914	2260
288	917	2256
289	919	2251
290	921	2245
291	923	2239
292	926	2234
293	928	2228
294	930	2223
295	932	2218
296	934	2212
297	937	2207
298	939	2202
299	941	2197
300	943	2191
301	946	2188
302	949	2184
303	952	2180
304	955	2176
305	957	2172
